y+,u_mean,uu+,ww+,y+,vv+,-uv+
780.767,22.5804,1.15685,0.560119,784.112,0.542611,0.225526
787.462,22.605,1.13743,0.552954,790.812,0.53862,0.219091
794.167,22.6291,1.11819,0.54596,797.521,0.53474,0.212649
800.881,22.6527,1.09912,0.539129,804.241,0.530978,0.206197
807.606,22.6758,1.08023,0.532443,810.972,0.527335,0.199736
814.342,22.6983,1.06155,0.525899,817.712,0.523804,0.193267
821.088,22.7203,1.04313,0.51951,824.464,0.520378,0.18679
827.846,22.7416,1.02505,0.513284,831.227,0.517056,0.180304
834.615,22.7625,1.00732,0.50723,838.002,0.51384,0.173809
841.396,22.7827,0.989923,0.50134,844.789,0.510735,0.167305
848.189,22.8022,0.972864,0.495599,851.589,0.507742,0.16079
854.995,22.8212,0.956137,0.490009,858.401,0.50486,0.154264
861.814,22.8395,0.939739,0.484582,865.226,0.502083,0.147727
868.646,22.8572,0.923697,0.47934,872.066,0.499405,0.14118
875.493,22.8742,0.908077,0.474299,878.919,0.496825,0.134622
882.354,22.8905,0.892954,0.469466,885.788,0.494342,0.128052
889.23,22.9062,0.878374,0.464834,892.672,0.491964,0.121468
896.121,22.9212,0.864351,0.460387,899.571,0.4897,0.11487
903.029,22.9354,0.850896,0.456112,906.487,0.487555,0.108256
909.954,22.949,0.838029,0.452002,913.421,0.485533,0.101628
916.896,22.9619,0.825787,0.448046,920.372,0.483636,0.0949854
923.857,22.9741,0.814206,0.444242,927.341,0.481865,0.0883293
930.836,22.9855,0.803302,0.440602,934.33,0.480219,0.0816589
937.834,22.9961,0.793092,0.43714,941.339,0.478697,0.0749722
944.853,23.0059,0.783593,0.433879,948.368,0.4773,0.0682669
951.893,23.0149,0.774832,0.430839,955.419,0.476028,0.061542
958.955,23.023,0.766839,0.428024,962.492,0.474885,0.0547969
966.04,23.0303,0.759652,0.42543,969.588,0.473873,0.0480306
973.149,23.0367,0.753305,0.423074,976.709,0.472994,0.0412418
980.282,23.0423,0.747824,0.420973,983.855,0.472245,0.0344303
987.441,23.047,0.743229,0.419153,991.027,0.47163,0.0275953
994.627,23.0508,0.739541,0.417657,998.226,0.471146,0.0207353
1001.84,23.0537,0.736776,0.416522,1005.45,0.470796,0.0138485
1009.08,23.0557,0.734933,0.41577,1012.71,0.470582,0.00693582
1016.36,23.0567,0.734011,0.415403,1020,0.470509,0
