y+ u_mean uu+ ww+ y+ vv+ -uv+
0.834615e+03 0.227625e+02 0.100732e+01 0.507230e+00 0.838002e+03 0.513840e+00 0.173809e+00
0.841396e+03 0.227827e+02 0.989923e+00 0.501340e+00 0.844789e+03 0.510735e+00 0.167305e+00
0.848189e+03 0.228022e+02 0.972864e+00 0.495599e+00 0.851589e+03 0.507742e+00 0.160790e+00
0.854995e+03 0.228212e+02 0.956137e+00 0.490009e+00 0.858401e+03 0.504860e+00 0.154264e+00
0.861814e+03 0.228395e+02 0.939739e+00 0.484582e+00 0.865226e+03 0.502083e+00 0.147727e+00
0.868646e+03 0.228572e+02 0.923697e+00 0.479340e+00 0.872066e+03 0.499405e+00 0.141180e+00
0.875493e+03 0.228742e+02 0.908077e+00 0.474299e+00 0.878919e+03 0.496825e+00 0.134622e+00
0.882354e+03 0.228905e+02 0.892954e+00 0.469466e+00 0.885788e+03 0.494342e+00 0.128052e+00
0.889230e+03 0.229062e+02 0.878374e+00 0.464834e+00 0.892672e+03 0.491964e+00 0.121468e+00
0.896121e+03 0.229212e+02 0.864351e+00 0.460387e+00 0.899571e+03 0.489700e+00 0.114870e+00
0.903029e+03 0.229354e+02 0.850896e+00 0.456112e+00 0.906487e+03 0.487555e+00 0.108256e+00
0.909954e+03 0.229490e+02 0.838029e+00 0.452002e+00 0.913421e+03 0.485533e+00 0.101628e+00
0.916896e+03 0.229619e+02 0.825787e+00 0.448046e+00 0.920372e+03 0.483636e+00 0.949854e-01
0.923857e+03 0.229741e+02 0.814206e+00 0.444242e+00 0.927341e+03 0.481865e+00 0.883293e-01
0.930836e+03 0.229855e+02 0.803302e+00 0.440602e+00 0.934330e+03 0.480219e+00 0.816589e-01
0.937834e+03 0.229961e+02 0.793092e+00 0.437140e+00 0.941339e+03 0.478697e+00 0.749722e-01
0.944853e+03 0.230059e+02 0.783593e+00 0.433879e+00 0.948368e+03 0.477300e+00 0.682669e-01
0.951893e+03 0.230149e+02 0.774832e+00 0.430839e+00 0.955419e+03 0.476028e+00 0.615420e-01
0.958955e+03 0.230230e+02 0.766839e+00 0.428024e+00 0.962492e+03 0.474885e+00 0.547969e-01
0.966040e+03 0.230303e+02 0.759652e+00 0.425430e+00 0.969588e+03 0.473873e+00 0.480306e-01
0.973149e+03 0.230367e+02 0.753305e+00 0.423074e+00 0.976709e+03 0.472994e+00 0.412418e-01
0.980282e+03 0.230423e+02 0.747824e+00 0.420973e+00 0.983855e+03 0.472245e+00 0.344303e-01
0.987441e+03 0.230470e+02 0.743229e+00 0.419153e+00 0.991027e+03 0.471630e+00 0.275953e-01
0.994627e+03 0.230508e+02 0.739541e+00 0.417657e+00 0.998226e+03 0.471146e+00 0.207353e-01
0.100184e+04 0.230537e+02 0.736776e+00 0.416522e+00 0.100545e+04 0.470796e+00 0.138485e-01
0.100908e+04 0.230557e+02 0.734933e+00 0.415770e+00 0.101271e+04 0.470582e+00 0.693582e-02
0.101636e+04 0.230567e+02 0.734011e+00 0.415403e+00 0.102000e+04 0.470509e+00 0.000000e+00
