      y+          U+           u'+            v'+           w'+           u'v'+
1.030434e+03 2.242211e+01 1.952178e+00 1.034348e+00 1.198472e+00 -7.534145e-01
1.037898e+03 2.244085e+01 1.949218e+00 1.033544e+00 1.196822e+00 -7.516514e-01
1.045376e+03 2.245950e+01 1.946250e+00 1.032738e+00 1.195161e+00 -7.498860e-01
1.052868e+03 2.247806e+01 1.943271e+00 1.031928e+00 1.193495e+00 -7.480820e-01
1.060375e+03 2.249653e+01 1.940279e+00 1.031115e+00 1.191831e+00 -7.462944e-01
1.067897e+03 2.251492e+01 1.937279e+00 1.030299e+00 1.190171e+00 -7.444575e-01
1.075432e+03 2.253321e+01 1.934270e+00 1.029479e+00 1.188516e+00 -7.426996e-01
1.082982e+03 2.255141e+01 1.931253e+00 1.028658e+00 1.186867e+00 -7.408023e-01
1.090547e+03 2.256952e+01 1.928227e+00 1.027834e+00 1.185228e+00 -7.390194e-01
1.098126e+03 2.258753e+01 1.925193e+00 1.027008e+00 1.183600e+00 -7.372700e-01
1.105718e+03 2.260546e+01 1.922152e+00 1.026178e+00 1.181987e+00 -7.354502e-01
1.113325e+03 2.262329e+01 1.919107e+00 1.025343e+00 1.180388e+00 -7.336120e-01
1.120946e+03 2.264105e+01 1.916060e+00 1.024503e+00 1.178800e+00 -7.317637e-01
1.128581e+03 2.265871e+01 1.913013e+00 1.023658e+00 1.177222e+00 -7.299694e-01
1.136230e+03 2.267628e+01 1.909964e+00 1.022807e+00 1.175650e+00 -7.281509e-01
1.143893e+03 2.269377e+01 1.906913e+00 1.021951e+00 1.174085e+00 -7.262453e-01
1.151570e+03 2.271118e+01 1.903861e+00 1.021089e+00 1.172528e+00 -7.244456e-01
1.159260e+03 2.272850e+01 1.900806e+00 1.020219e+00 1.170981e+00 -7.225626e-01
1.166965e+03 2.274574e+01 1.897747e+00 1.019343e+00 1.169446e+00 -7.207533e-01
1.174683e+03 2.276292e+01 1.894681e+00 1.018461e+00 1.167928e+00 -7.189064e-01
1.182415e+03 2.278003e+01 1.891610e+00 1.017572e+00 1.166433e+00 -7.170950e-01
1.190160e+03 2.279708e+01 1.888537e+00 1.016679e+00 1.164958e+00 -7.152415e-01
1.197919e+03 2.281406e+01 1.885465e+00 1.015780e+00 1.163500e+00 -7.133806e-01
