y+ u_mean uu+ ww+ y+ vv+ -uv+ -uv/urmsvrms nu_t+ y+ Diss. Prod. Mole_Diff. vel_p_grad. Turb_Diff.
0.230409e+03 0.193447e+02 0.150886e+01 0.786042e+00 0.233542e+03 0.634098e+00 0.393843e+00 0.405843e+00 0.288171e+02 0.230409e+03 -0.609277e-02 0.556291e-02 0.174050e-04 -0.377683e-03 0.981784e-03
0.236689e+03 0.194306e+02 0.146165e+01 0.760439e+00 0.239837e+03 0.620520e+00 0.378351e+00 0.400498e+00 0.285193e+02 0.236689e+03 -0.580714e-02 0.519594e-02 0.188899e-04 -0.385217e-03 0.106391e-02
0.242997e+03 0.195143e+02 0.141502e+01 0.735129e+00 0.246158e+03 0.607214e+00 0.362793e+00 0.394622e+00 0.282032e+02 0.242997e+03 -0.553520e-02 0.483854e-02 0.204533e-04 -0.390917e-03 0.114960e-02
0.249331e+03 0.195958e+02 0.136900e+01 0.710201e+00 0.252504e+03 0.594256e+00 0.347175e+00 0.388163e+00 0.278743e+02 0.249331e+03 -0.527683e-02 0.449127e-02 0.198305e-04 -0.395782e-03 0.124005e-02
0.255689e+03 0.196749e+02 0.132349e+01 0.685647e+00 0.258873e+03 0.581724e+00 0.331501e+00 0.381080e+00 0.275207e+02 0.255689e+03 -0.503262e-02 0.415492e-02 0.189967e-04 -0.398642e-03 0.133205e-02
0.262067e+03 0.197518e+02 0.127835e+01 0.661548e+00 0.265262e+03 0.569664e+00 0.315770e+00 0.373333e+00 0.271256e+02 0.262067e+03 -0.480369e-02 0.383145e-02 0.200993e-04 -0.397199e-03 0.142057e-02
0.268465e+03 0.198263e+02 0.123349e+01 0.638098e+00 0.271669e+03 0.558081e+00 0.299994e+00 0.364896e+00 0.267029e+02 0.268465e+03 -0.458923e-02 0.352066e-02 0.228742e-04 -0.389908e-03 0.150376e-02
0.274880e+03 0.198984e+02 0.118895e+01 0.615509e+00 0.278092e+03 0.546965e+00 0.284187e+00 0.355739e+00 0.262747e+02 0.274880e+03 -0.438718e-02 0.322047e-02 0.244915e-04 -0.377688e-03 0.158476e-02
0.281311e+03 0.199679e+02 0.114480e+01 0.593898e+00 0.284530e+03 0.536327e+00 0.268358e+00 0.345807e+00 0.258422e+02 0.281311e+03 -0.419667e-02 0.292981e-02 0.257611e-04 -0.363978e-03 0.166670e-02
0.287756e+03 0.200348e+02 0.110117e+01 0.573254e+00 0.290981e+03 0.526183e+00 0.252513e+00 0.335029e+00 0.254037e+02 0.287756e+03 -0.401773e-02 0.264876e-02 0.277153e-04 -0.352601e-03 0.175232e-02
0.294212e+03 0.200990e+02 0.105825e+01 0.553561e+00 0.297443e+03 0.516554e+00 0.236656e+00 0.323327e+00 0.249624e+02 0.294212e+03 -0.385010e-02 0.237772e-02 0.292290e-04 -0.342996e-03 0.184178e-02
0.300680e+03 0.201603e+02 0.101622e+01 0.534772e+00 0.303916e+03 0.507464e+00 0.220796e+00 0.310623e+00 0.245274e+02 0.300680e+03 -0.369368e-02 0.211691e-02 0.312563e-04 -0.333218e-03 0.193206e-02
0.307156e+03 0.202186e+02 0.975290e+00 0.516852e+00 0.310396e+03 0.498955e+00 0.204936e+00 0.296827e+00 0.241002e+02 0.307156e+03 -0.354844e-02 0.186683e-02 0.339522e-04 -0.321856e-03 0.202045e-02
0.313641e+03 0.202737e+02 0.935641e+00 0.499818e+00 0.316885e+03 0.491061e+00 0.189080e+00 0.281849e+00 0.236809e+02 0.313641e+03 -0.341425e-02 0.162831e-02 0.377754e-04 -0.306630e-03 0.210367e-02
0.320132e+03 0.203255e+02 0.897523e+00 0.483741e+00 0.323379e+03 0.483802e+00 0.173238e+00 0.265612e+00 0.232878e+02 0.320132e+03 -0.329059e-02 0.140183e-02 0.418893e-04 -0.287809e-03 0.218175e-02
0.326629e+03 0.203738e+02 0.861212e+00 0.468697e+00 0.329878e+03 0.477192e+00 0.157411e+00 0.248034e+00 0.229246e+02 0.326629e+03 -0.317705e-02 0.118812e-02 0.462348e-04 -0.267433e-03 0.225562e-02
0.333130e+03 0.204185e+02 0.827025e+00 0.454747e+00 0.336382e+03 0.471225e+00 0.141601e+00 0.229048e+00 0.225840e+02 0.333130e+03 -0.307376e-02 0.988456e-03 0.497692e-04 -0.246517e-03 0.232621e-02
0.339636e+03 0.204594e+02 0.795252e+00 0.441929e+00 0.342889e+03 0.465884e+00 0.125809e+00 0.208620e+00 0.222770e+02 0.339636e+03 -0.298102e-02 0.803977e-03 0.526420e-04 -0.225461e-03 0.239272e-02
0.346144e+03 0.204961e+02 0.766115e+00 0.430293e+00 0.349399e+03 0.461148e+00 0.110039e+00 0.186747e+00 0.220166e+02 0.346144e+03 -0.289882e-02 0.635547e-03 0.565263e-04 -0.205612e-03 0.245386e-02
0.352655e+03 0.205286e+02 0.739821e+00 0.419992e+00 0.355911e+03 0.457002e+00 0.942910e-01 0.163455e+00 0.218251e+02 0.352655e+03 -0.282650e-02 0.484283e-03 0.604177e-04 -0.188008e-03 0.250991e-02
0.359168e+03 0.205568e+02 0.716590e+00 0.411152e+00 0.362424e+03 0.453449e+00 0.785606e-01 0.138788e+00 0.216946e+02 0.359168e+03 -0.276397e-02 0.351723e-03 0.644630e-04 -0.173126e-03 0.255976e-02
0.365681e+03 0.205804e+02 0.696683e+00 0.403846e+00 0.368939e+03 0.450508e+00 0.628409e-01 0.112834e+00 0.216108e+02 0.365681e+03 -0.271195e-02 0.239529e-03 0.681480e-04 -0.161067e-03 0.260318e-02
0.372196e+03 0.205993e+02 0.680349e+00 0.398124e+00 0.375454e+03 0.448203e+00 0.471276e-01 0.857404e-01 0.215667e+02 0.372196e+03 -0.267083e-02 0.148943e-03 0.709583e-04 -0.151081e-03 0.263917e-02
0.378711e+03 0.206136e+02 0.667819e+00 0.393973e+00 0.381969e+03 0.446558e+00 0.314176e-01 0.577156e-01 0.215514e+02 0.378711e+03 -0.264048e-02 0.806378e-04 0.727102e-04 -0.143218e-03 0.266689e-02
0.385227e+03 0.206230e+02 0.659318e+00 0.391301e+00 0.388484e+03 0.445578e+00 0.157090e-01 0.290300e-01 0.215590e+02 0.385227e+03 -0.262060e-02 0.349452e-04 0.735949e-04 -0.137741e-03 0.268593e-02
0.391742e+03 0.206278e+02 0.655032e+00 0.390002e+00 0.395000e+03 0.445256e+00 0.000000e+00 0.000000e+00 0.215591e+02 0.391742e+03 -0.261081e-02 0.120445e-04 0.734529e-04 -0.134871e-03 0.269608e-02
