y+,u_mean,uu+,ww+,y+2,vv+,-uv+,-uv/urmsvrms,nu_t+,Diss.,Prod.,Mole_Diff.,vel_p_grad.,Turb_Diff.,u_mean2,uu+2
224.16,19.2569,1.5566,0.811901,227.277,0.647868,0.409268,0.410719,29.1107,-0.00639179,0.00593899,1.52287e-05,-0.000370188,0.000905092,19.3006946231397,1.532787297167547
230.409,19.3447,1.50886,0.786042,233.542,0.634098,0.393843,0.405843,28.8171,-0.00609277,0.00556291,1.7405e-05,-0.000377683,0.000981784,19.387554251592356,1.485307622611465
236.689,19.4306,1.46165,0.760439,239.837,0.62052,0.378351,0.400498,28.5193,-0.00580714,0.00519594,1.88899e-05,-0.000385217,0.00106391,19.472370386810397,1.4383793532022828
242.997,19.5143,1.41502,0.735129,246.158,0.607214,0.362793,0.394622,28.2032,-0.0055352,0.00483854,2.04533e-05,-0.000390917,0.0011496,19.554972797600254,1.392053593305968
249.331,19.5958,1.369,0.710201,252.504,0.594256,0.347175,0.388163,27.8743,-0.00527683,0.00449127,1.98305e-05,-0.000395782,0.00124005,19.63527535388487,1.3462879474677572
255.689,19.6749,1.32349,0.685647,258.873,0.581724,0.331501,0.38108,27.5207,-0.00503262,0.00415492,1.89967e-05,-0.000398642,0.00133205,19.713289714644088,1.3009553872687365
262.067,19.7518,1.27835,0.661548,265.262,0.569664,0.31577,0.373333,27.1256,-0.00480369,0.00383145,2.00993e-05,-0.000397199,0.00142057,19.78900342294467,1.2559480462644577
268.465,19.8263,1.23349,0.638098,271.669,0.558081,0.299994,0.364896,26.7029,-0.00458923,0.00352066,2.28742e-05,-0.000389908,0.00150376,19.862310662509742,1.2112443008573655
274.88,19.8984,1.18895,0.615509,278.092,0.546965,0.284187,0.355739,26.2747,-0.00438718,0.00322047,2.44915e-05,-0.000377688,0.00158476,19.933112175400403,1.166899028144923
281.311,19.9679,1.1448,0.593898,284.53,0.536327,0.268358,0.345807,25.8422,-0.00419667,0.00292981,2.57611e-05,-0.000363978,0.0016667,20.001313669511248,1.1230086935609
287.756,20.0348,1.10117,0.573254,290.981,0.526183,0.252513,0.335029,25.4037,-0.00401773,0.00264876,2.77153e-05,-0.000352601,0.00175232,20.066870167286247,1.079729944237918
294.212,20.099,1.05825,0.553561,297.443,0.516554,0.236656,0.323327,24.9624,-0.0038501,0.00237772,2.9229e-05,-0.000342996,0.00184178,20.129621567717997,1.0372544944341373
300.68,20.1603,1.01622,0.534772,303.916,0.507464,0.220796,0.310623,24.5274,-0.00369368,0.00211691,3.12563e-05,-0.000333218,0.00193206,20.189431995058676,0.9957676405188388
307.156,20.2186,0.97529,0.516852,310.396,0.498955,0.204936,0.296827,24.1002,-0.00354844,0.00186683,3.39522e-05,-0.000321856,0.00202045,20.246128758673862,0.9554807848882035
313.641,20.2737,0.935641,0.499818,316.885,0.491061,0.18908,0.281849,23.6809,-0.00341425,0.00162831,3.77754e-05,-0.00030663,0.00210367,20.299588029579418,0.9165908086581421
320.132,20.3255,0.897523,0.483741,323.379,0.483802,0.173238,0.265612,23.2878,-0.00329059,0.00140183,4.18893e-05,-0.000287809,0.00218175,20.3496388486994,0.879375883330768
326.629,20.3738,0.861212,0.468697,329.878,0.477192,0.157411,0.248034,22.9246,-0.00317705,0.00118812,4.62348e-05,-0.000267433,0.00225562,20.396139686202122,0.8441263880941394
333.13,20.4185,0.827025,0.454747,336.382,0.471225,0.141601,0.229048,22.584,-0.00307376,0.000988456,4.97692e-05,-0.000246517,0.00232621,20.438943713495235,0.8111433836458654
339.636,20.4594,0.795252,0.441929,342.889,0.465884,0.125809,0.20862,22.277,-0.00298102,0.000803977,5.2642e-05,-0.000225461,0.00239272,20.477744360786723,0.7806879771051014
346.144,20.4961,0.766115,0.430293,349.399,0.461148,0.110039,0.186747,22.0166,-0.00289882,0.000635547,5.65263e-05,-0.000205612,0.00245386,20.512347504223623,0.7529700191982798
352.655,20.5286,0.739821,0.419992,355.911,0.457002,0.094291,0.163455,21.8251,-0.0028265,0.000484283,6.04177e-05,-0.000188008,0.00250991,20.542697835099034,0.7282072834331337
359.168,20.5568,0.71659,0.411152,362.424,0.453449,0.0785606,0.138788,21.6946,-0.00276397,0.000351723,6.4463e-05,-0.000173126,0.00255976,20.568598188238905,0.7066380282511899
365.681,20.5804,0.696683,0.403846,368.939,0.450508,0.0628409,0.112834,21.6108,-0.00271195,0.000239529,6.8148e-05,-0.000161067,0.00260318,20.58985145049885,0.6885147464313124
372.196,20.5993,0.680349,0.398124,375.454,0.448203,0.0471276,0.0857404,21.5667,-0.00267083,0.000148943,7.09583e-05,-0.000151081,0.00263917,20.606451097467385,0.6740830383729854
378.711,20.6136,0.667819,0.393973,381.969,0.446558,0.0314176,0.0577156,21.5514,-0.00264048,8.06378e-05,7.27102e-05,-0.000143218,0.00266689,20.6183,0.6635685
385.227,20.623,0.659318,0.391301,388.484,0.445578,0.015709,0.02903,21.559,-0.0026206,3.49452e-05,7.35949e-05,-0.000137741,0.00268593,20.62539963161934,0.6571753289332309
391.742,20.6278,0.655032,0.390002,395.0,0.445256,0.0,0.0,21.5591,-0.00261081,1.20445e-05,7.34529e-05,-0.000134871,0.00269608,20.6278,0.655032
